time:10180155, acc_x:-39.86, acc_y:-20.39, acc_z:1038.70, raw_acc_x:-751.95, raw_acc_y:383.79, raw_acc_z:1348.63
time:10191873, acc_x:-144.39, acc_y:-67.77, acc_z:1211.14, raw_acc_x:-562.50, raw_acc_y:-257.32, raw_acc_z:1900.88
time:10203766, acc_x:-28.59, acc_y:-27.75, acc_z:1067.25, raw_acc_x:434.57, raw_acc_y:132.32, raw_acc_z:491.70
time:10215303, acc_x:-8.23, acc_y:76.62, acc_z:1059.95, raw_acc_x:73.24, raw_acc_y:494.14, raw_acc_z:1030.76
time:10226675, acc_x:39.71, acc_y:86.01, acc_z:1114.95, raw_acc_x:231.45, raw_acc_y:123.54, raw_acc_z:1334.96
time:10238123, acc_x:42.31, acc_y:98.79, acc_z:1062.37, raw_acc_x:52.73, raw_acc_y:149.90, raw_acc_z:852.05
time:10249399, acc_x:134.05, acc_y:77.76, acc_z:1133.10, raw_acc_x:500.98, raw_acc_y:-6.35, raw_acc_z:1416.02
time:10260858, acc_x:87.12, acc_y:-10.94, acc_z:1046.33, raw_acc_x:-100.59, raw_acc_y:-365.72, raw_acc_z:699.22
time:10272484, acc_x:35.42, acc_y:45.45, acc_z:1179.25, raw_acc_x:-171.39, raw_acc_y:271.00, raw_acc_z:1710.94
time:10284028, acc_x:69.25, acc_y:102.57, acc_z:1147.89, raw_acc_x:204.59, raw_acc_y:331.05, raw_acc_z:1022.46
time:10295569, acc_x:2.86, acc_y:11.94, acc_z:1087.84, raw_acc_x:-262.70, raw_acc_y:-350.59, raw_acc_z:847.66
time:10307024, acc_x:-47.32, acc_y:14.92, acc_z:1007.58, raw_acc_x:-248.05, raw_acc_y:26.86, raw_acc_z:686.52
time:10318483, acc_x:-11.20, acc_y:-12.87, acc_z:940.44, raw_acc_x:133.30, raw_acc_y:-124.02, raw_acc_z:671.87
time:10330025, acc_x:13.31, acc_y:-35.29, acc_z:915.14, raw_acc_x:111.33, raw_acc_y:-125.00, raw_acc_z:813.96
